Key_poliflw,Alt_map,Type,CBS CODE,CBS NAAM,CBS PROVINCIE CODE,CBS PROVINCIE NAAM
Smallingerland,Smallingerland,Gemeente,GM0090,Smallingerland,PV21,Friesland
Baarn,Baarn,Gemeente,GM0308,Baarn,PV26,Utrecht
Vorden,Bronckhorst,Gemeente,GM1876,Bronckhorst,PV25,Gelderland
Barendrecht,Barendrecht,Gemeente,GM0489,Barendrecht,PV28,Zuid-Holland
s’Hertogenbosch,s-Hertogenbosch,Gemeente,null,null,null,null
’s Hertogenbosch,s-Hertogenbosch,Gemeente,null,null,null,null
Heerde,Heerde,Gemeente,GM0246,Heerde,PV25,Gelderland
Noordoostpolder,Noordoostpolder,Gemeente,GM0171,Noordoostpolder,PV24,Flevoland
Krimpenerwaard,Krimpenerwaard,Gemeente,GM1931,Krimpenerwaard,PV28,Zuid-Holland
Tholen,Tholen,Gemeente,GM0716,Tholen,PV29,Zeeland
Westerwolde - Vlagtwedde,Westerwolde,Gemeente,GM1950,Westerwolde,PV20,Groningen
Amsterdam Centrum,Amsterdam,Gemeente,GM0363,Amsterdam,PV27,Noord-Holland
Kaag en Braassem,Kaag en Braassem,Gemeente,GM1884,Kaag en Braassem,PV28,Zuid-Holland
Hoge Hexel,Wierden,Gemeente,GM0189,Wierden,PV23,Overijssel
Leusden,Leusden,Gemeente,GM0327,Leusden,PV26,Utrecht
Gulpen-Wittem,Gulpen-Wittem,Gemeente,GM1729,Gulpen-Wittem,PV31,Limburg
Dalfsen,Dalfsen,Gemeente,GM0148,Dalfsen,PV23,Overijssel
Oostburg,Sluis,Gemeente,GM1714,Sluis,PV29,Zeeland
Zwijndrecht,Zwijndrecht,Gemeente,GM0642,Zwijndrecht,PV28,Zuid-Holland
Oldambt,Oldambt,Gemeente,GM1895,Oldambt,PV20,Groningen
Dantumadiel,Dantumadiel,Gemeente,GM1891,Dantumadiel,PV21,Friesland
Etten-Leur,Etten-Leur,Gemeente,GM0777,Etten-Leur,PV30,Noord-Brabant
Hendrik-Ido-Ambacht,Hendrik-Ido-Ambacht,Gemeente,GM0531,Hendrik-Ido-Ambacht,PV28,Zuid-Holland
Aalten-Dinxperlo,Aalten,Gemeente,GM0197,Aalten,PV25,Gelderland
Schouwen-Duiveland,Schouwen-Duiveland,Gemeente,GM1676,Schouwen-Duiveland,PV29,Zeeland
Goeree-Overflakkee,Goeree-Overflakkee,Gemeente,GM1924,Goeree-Overflakkee,PV28,Zuid-Holland
Pekela,Pekela,Gemeente,GM0765,Pekela,PV20,Groningen
Nuth,Nuth,Gemeente,GM0951,Nuth,PV31,Limburg
Heemskerk,Heemskerk,Gemeente,GM0396,Heemskerk,PV27,Noord-Holland
Hardinxveld-Giessendam,Hardinxveld-Giessendam,Gemeente,GM0523,Hardinxveld-Giessendam,PV28,Zuid-Holland
Lochem,Lochem,Gemeente,GM0262,Lochem,PV25,Gelderland
Soest,Soest,Gemeente,GM0342,Soest,PV26,Utrecht
Dronten,Dronten,Gemeente,GM0303,Dronten,PV24,Flevoland
Nederweert,Nederweert,Gemeente,GM0946,Nederweert,PV31,Limburg
Schagen,Schagen,Gemeente,GM0441,Schagen,PV27,Noord-Holland
Veendam,Veendam,Gemeente,GM0047,Veendam,PV20,Groningen
Gooise Meren,Gooise Meren,Gemeente,GM1942,Gooise Meren,PV27,Noord-Holland
Wijdemeren,Wijdemeren,Gemeente,GM1696,Wijdemeren,PV27,Noord-Holland
Heythuysen,Leudal,Gemeente,GM1640,Leudal,PV31,Limburg
Berkelland,Berkelland,Gemeente,GM1859,Berkelland,PV25,Gelderland
Harlingen,Harlingen,Gemeente,GM0072,Harlingen,PV21,Friesland
Midden-Groningen,Midden-Groningen,Gemeente,GM1952,Midden-Groningen,PV20,Groningen
Nieuwerkerk,Schouwen-Duiveland,Gemeente,GM1676,Schouwen-Duiveland,PV29,Zeeland
Venray,Venray,Gemeente,GM0984,Venray,PV31,Limburg
Alphen a/d Rijn,Alphen aan den Rijn,Gemeente,GM0484,Alphen aan den Rijn,PV28,Zuid-Holland
Valkenburg,Valkenburg aan de Geul,Gemeente,GM0994,Valkenburg aan de Geul,PV31,Limburg
Zutphen Warnsveld,Zutphen,Gemeente,GM0301,Zutphen,PV25,Gelderland
Krimpen aan den IJssel,Krimpen aan den IJssel,Gemeente,GM0542,Krimpen aan den IJssel,PV28,Zuid-Holland
Nieuwkoop,Nieuwkoop,Gemeente,GM0569,Nieuwkoop,PV28,Zuid-Holland
Alblasserdam,Alblasserdam,Gemeente,GM0482,Alblasserdam,PV28,Zuid-Holland
Losser,Losser,Gemeente,GM0168,Losser,PV23,Overijssel
Borne,Borne,Gemeente,GM0147,Borne,PV23,Overijssel
Twenterand,Twenterand,Gemeente,GM1700,Twenterand,PV23,Overijssel
Bunschoten,Bunschoten,Gemeente,GM0313,Bunschoten,PV26,Utrecht
Beuningen,Beuningen,Gemeente,GM0209,Beuningen,PV25,Gelderland
Brunssum,Brunssum,Gemeente,GM0899,Brunssum,PV31,Limburg
Hillegom,Hillegom,Gemeente,GM0534,Hillegom,PV28,Zuid-Holland
Waalwijk,Waalwijk,Gemeente,GM0867,Waalwijk,PV30,Noord-Brabant
Woudenberg,Woudenberg,Gemeente,GM0351,Woudenberg,PV26,Utrecht
Almere-Stad,Almere,Gemeente,GM0034,Almere,PV24,Flevoland
Edam,Edam-Volendam,Gemeente,GM0385,Edam-Volendam,PV27,Noord-Holland
Kerkrade,Kerkrade,Gemeente,GM0928,Kerkrade,PV31,Limburg
Ermelo,Ermelo,Gemeente,GM0233,Ermelo,PV25,Gelderland
Oisterwijk,Oisterwijk,Gemeente,GM0824,Oisterwijk,PV30,Noord-Brabant
Sudwest-Fryslan,Súdwest-Fryslân,Gemeente,GM1900,Súdwest-Fryslân,PV21,Friesland
Ten Boer,Ten Boer,Gemeente,GM0009,Ten Boer,PV20,Groningen
Oosterwolde,Ooststellingwerf,Gemeente,GM0085,Ooststellingwerf,PV21,Friesland
Amsterdam West,Amsterdam,Gemeente,GM0363,Amsterdam,PV27,Noord-Holland
Binnenmaas,Binnenmaas,Gemeente,GM0585,Binnenmaas,PV28,Zuid-Holland
Eemsmond,Eemsmond,Gemeente,GM1651,Eemsmond,PV20,Groningen
Lisse,Lisse,Gemeente,GM0553,Lisse,PV28,Zuid-Holland
Krimpen,Krimpenerwaard,Gemeente,GM1931,Krimpenerwaard,PV28,Zuid-Holland
Dongen - 's Gravenmoer,Dongen,Gemeente,GM0766,Dongen,PV30,Noord-Brabant
Zuidhorn,Zuidhorn,Gemeente,GM0056,Zuidhorn,PV20,Groningen
Wassenaar,Wassenaar,Gemeente,GM0629,Wassenaar,PV28,Zuid-Holland
Bergen op Zoom,Bergen op Zoom,Gemeente,GM0748,Bergen op Zoom,PV30,Noord-Brabant
Oude IJsselstreek,Oude IJsselstreek,Gemeente,GM1509,Oude IJsselstreek,PV25,Gelderland
Oirschot,Oirschot,Gemeente,GM0823,Oirschot,PV30,Noord-Brabant
Noordenveld,Noordenveld,Gemeente,GM1699,Noordenveld,PV22,Drenthe
Boxtel-Liempde-Lennisheuvel,Boxtel,Gemeente,GM0757,Boxtel,PV30,Noord-Brabant
Someren,Someren,Gemeente,GM0847,Someren,PV30,Noord-Brabant
Opsterland,Opsterland,Gemeente,GM0086,Opsterland,PV21,Friesland
Staphorst,Staphorst,Gemeente,GM0180,Staphorst,PV23,Overijssel
Leerdam,Leerdam,Gemeente,GM0545,Leerdam,PV28,Zuid-Holland
Duiven,Duiven,Gemeente,GM0226,Duiven,PV25,Gelderland
Voorne,Nissewaard,Gemeente,GM1930,Nissewaard,PV28,Zuid-Holland
Loon op Zand,Loon op Zand,Gemeente,GM0809,Loon op Zand,PV30,Noord-Brabant
's-Heerenberg,Montferland,Gemeente,GM1955,Montferland,PV25,Gelderland
Uitgeest,Uitgeest,Gemeente,GM0450,Uitgeest,PV27,Noord-Holland
Deurne,Deurne,Gemeente,GM0762,Deurne,PV30,Noord-Brabant
Zederik,Zederik,Gemeente,GM0707,Zederik,PV28,Zuid-Holland
Aa en Hunze,Aa en Hunze,Gemeente,GM1680,Aa en Hunze,PV22,Drenthe
Haarlemmermeer,Haarlemmermeer,Gemeente,GM0394,Haarlemmermeer,PV27,Noord-Holland
Ulft,Oude IJsselstreek,Gemeente,GM1509,Oude IJsselstreek,PV25,Gelderland
Enkhuizen,Enkhuizen,Gemeente,GM0388,Enkhuizen,PV27,Noord-Holland
s-Hertogenbosch,s-Hertogenbosch,Gemeente,null,null,null,null
_Gooise Meren,Gooise Meren,Gemeente,GM1942,Gooise Meren,PV27,Noord-Holland
Renswoude,Renswoude,Gemeente,GM0339,Renswoude,PV26,Utrecht
Achtkarspelen,Achtkarspelen,Gemeente,GM0059,Achtkarspelen,PV21,Friesland
team Enkhuizen,Enkhuizen,Gemeente,GM0388,Enkhuizen,PV27,Noord-Holland
Eindhovense VVD,Eindhoven,Gemeente,GM0772,Eindhoven,PV30,Noord-Brabant
Middelharnis,Goeree-Overflakkee,Gemeente,GM1924,Goeree-Overflakkee,PV28,Zuid-Holland
Geertruidenberg,Geertruidenberg,Gemeente,GM0779,Geertruidenberg,PV30,Noord-Brabant
Lokaal Netwerk Brussel,Brussel,Gemeente,null,null,null,null
Beemster,Beemster,Gemeente,GM0370,Beemster,PV27,Noord-Holland
Ridderkerk,Ridderkerk,Gemeente,GM0597,Ridderkerk,PV28,Zuid-Holland
Winsum,Winsum,Gemeente,GM0053,Winsum,PV20,Groningen
Zwartewaterland,Zwartewaterland,Gemeente,GM1896,Zwartewaterland,PV23,Overijssel
Amsterdam Noord,Amsterdam,Gemeente,GM0363,Amsterdam,PV27,Noord-Holland
Koggenland,Koggenland,Gemeente,GM1598,Koggenland,PV27,Noord-Holland
Wilhelminaoord,Westerveld,Gemeente,GM1701,Westerveld,PV22,Drenthe
Albrandswaard,Albrandswaard,Gemeente,GM0613,Albrandswaard,PV28,Zuid-Holland
Gilze en Rijen,Gilze en Rijen,Gemeente,GM0784,Gilze en Rijen,PV30,Noord-Brabant
Sint Michielsgestel,Sint-Michielsgestel,Gemeente,GM0845,Sint-Michielsgestel,PV30,Noord-Brabant
Zandvoort,Zandvoort,Gemeente,GM0473,Zandvoort,PV27,Noord-Holland
Ouder-Amstel,Ouder-Amstel,Gemeente,GM0437,Ouder-Amstel,PV27,Noord-Holland
Voorburg,Leidschendam-Voorburg,Gemeente,GM1916,Leidschendam-Voorburg,PV28,Zuid-Holland
Bodegraven,Bodegraven-Reeuwijk,Gemeente,GM1901,Bodegraven-Reeuwijk,PV28,Zuid-Holland
Nuenen,"Nuenen, Gerwen en Nederwetten",Gemeente,GM0820,"Nuenen, Gerwen en Nederwetten",PV30,Noord-Brabant
Leudal,Leudal,Gemeente,GM1640,Leudal,PV31,Limburg
Midlum,Harlingen,Gemeente,GM0072,Harlingen,PV21,Friesland
Rhenen,Rhenen,Gemeente,GM0340,Rhenen,PV26,Utrecht
Valkenswaard,Valkenswaard,Gemeente,GM0858,Valkenswaard,PV30,Noord-Brabant
Veere,Veere,Gemeente,GM0717,Veere,PV29,Zeeland
Hulst,Hulst,Gemeente,GM0677,Hulst,PV29,Zeeland
Naarden,Gooise Meren,Gemeente,GM1942,Gooise Meren,PV27,Noord-Holland
Geerdijk,Twenterand,Gemeente,GM1700,Twenterand,PV23,Overijssel
Zeewolde,Zeewolde,Gemeente,GM0050,Zeewolde,PV24,Flevoland
Winschoten,Oldambt,Gemeente,GM1895,Oldambt,PV20,Groningen
Drimmelen,Drimmelen,Gemeente,GM1719,Drimmelen,PV30,Noord-Brabant
Asten,Asten,Gemeente,GM0743,Asten,PV30,Noord-Brabant
Bergschenhoek,Lansingerland,Gemeente,GM1621,Lansingerland,PV28,Zuid-Holland
Goor,Hof van Twente,Gemeente,GM1735,Hof van Twente,PV23,Overijssel
Veghel,Meierijstad,Gemeente,GM1948,Meierijstad,PV30,Noord-Brabant
Molenwaard,Molenwaard,Gemeente,GM1927,Molenwaard,PV28,Zuid-Holland
Vianen,Vianen,Gemeente,GM0620,Vianen,PV26,Utrecht
Gemert-Bakel,Gemert-Bakel,Gemeente,GM1652,Gemert-Bakel,PV30,Noord-Brabant
Neder-Betuwe,Neder-Betuwe,Gemeente,GM1740,Neder-Betuwe,PV25,Gelderland
Geldermalsen,Geldermalsen,Gemeente,GM0236,Geldermalsen,PV25,Gelderland
Waadhoeke,Waadhoeke,Gemeente,GM1949,Waadhoeke,PV21,Friesland
